"Index","Pompei","Tchernobyl","Auschwitz-Birkenau","Human Safari de Sarajevo","11 Septembre Memorial - Ground Zero","Fukushima","Catacombes de Paris","Catacombes des Capucins","Tourisme de guerre - Syrie","Submitter","Submission Date","Submission ID"
1,"1","5","5","5","4","4","4","4","4",,"19/03/2026 11:04:27","7f6267a3dd776c"
2,"3","4","5","4","4","3","2","3","3",,"19/03/2026 11:13:18","b5697a72e99675"
3,"2","4","5","3","3","3","2","2","5",,"19/03/2026 11:14:55","ca0438edd776c"
4,"3","5","4","5","2","5","3","3","5",,"19/03/2026 11:17:07","662efca0e99675"
5,"2","2","3","5","1","2","4","4","5",,"19/03/2026 11:17:30","567b3caddd776c"
6,"1","2","2","5","2","2","4","5","5",,"19/03/2026 11:35:50","dc8abcb3dd776c"
7,"2","3","3","5","2","3","1","2","5",,"19/03/2026 11:37:48","e8f2501ddd776c"
8,"2","4","5","5","1","3","4","4","5",,"19/03/2026 11:56:50","bbcd3fe3dd776c"
9,"1","","","","","","","","",,"19/03/2026 12:18:13","b1af143be99675"
10,"4","5","5","4","4","3","3","2","4",,"19/03/2026 12:43:20","d39a90c2dd776c"
11,"3","3","3","2","2","3","3","2","5",,"19/03/2026 13:02:03","447dc0b6dd776c"
12,"2","4","3","5","1","2","3","4","4",,"19/03/2026 13:27:58","c9f9e94ce99675"
13,"1","2","3","5","1","2","1","2","5",,"19/03/2026 16:49:24","8eaabefde99675"
14,"2","2","1","5","1","2","2","2","4",,"19/03/2026 17:41:30","226d186bdd776c"
15,"1","3","2","5","2","3","2","2","5",,"20/03/2026 15:12:23","ef154b4add776c"
16,"5","5","5","4","3","4","2","1","4",,"20/03/2026 16:33:23","490baba2dd776c"
17,"2","3","5","5","2","2","5","5","4",,"21/03/2026 11:39:44","8cd4965dd776c"
